epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.72121,6.33094,37.4582,4.2196,0,0,0,0,4.97982,22.9393,4.1607,0.0946,0.0006,0.0006
2,5.4902,5.6942,42.6141,3.68308,0,0,0,0,4.96555,22.1834,4.16034,0.0882974,0.00129743,0.00129743
3,7.43677,6.62888,32.9047,4.1871,0,0,0,0,4.88673,8.38203,4.15656,0.0819921,0.00199208,0.00199208
4,9.30644,5.34597,12.2322,4.19695,0,0,0,0,4.78618,7.40543,4.147,0.075684,0.00268396,0.00268396
5,11.1125,6.45453,9.35061,4.17432,0,0,0,0,4.72866,5.07746,4.13533,0.0693731,0.00337307,0.00337307
6,12.8509,5.01352,6.92851,3.58541,0,0,0,0,4.67697,5.27428,4.12191,0.0630594,0.00405941,0.00405941
7,14.5827,5.14269,6.89533,3.43705,0,0,0,0,4.6718,5.33927,4.1153,0.056743,0.00474298,0.00474298
8,16.9984,5.31071,7.46759,3.64853,0,0,0,0,4.58401,5.0952,4.09951,0.0504238,0.00542377,0.00542377
9,18.8215,4.62339,5.80105,3.12477,0,0,0,0,4.56738,5.19997,4.09053,0.0441018,0.00610179,0.00610179
10,20.5441,6.13017,6.05572,4.04078,0,0,0,0,4.54621,5.2724,4.08342,0.037777,0.00677704,0.00677704
11,22.314,4.92278,5.77783,3.28957,0,0,0,0,4.51204,5.43245,4.06849,0.0314495,0.00744952,0.00744952
12,24.299,5.92526,6.08698,3.62309,0,0,0,0,4.55183,5.45356,4.05291,0.0251192,0.00811923,0.00811923
13,26.007,5.87182,5.88808,3.92168,0,0,0,0,4.63661,5.42668,4.02952,0.0187862,0.00878616,0.00878616
14,27.7167,4.83462,4.72688,2.85808,0,0,0,0,4.63661,5.42668,4.02952,0.0124503,0.00945032,0.00945032
15,29.4775,4.88707,4.95775,3.30503,0,0,0,0,4.86188,5.21576,3.98076,0.0097228,0.0097228,0.0097228
16,31.6853,6.16837,5.70971,3.75554,0,0,0,0,5.15019,4.94618,3.90369,0.0097228,0.0097228,0.0097228
17,33.4115,6.21685,5.66883,3.59192,0,0,0,0,5.35951,4.82993,3.80604,0.009703,0.009703,0.009703
18,35.1152,5.37266,4.60676,3.02954,0,0,0,0,4.89748,6.29892,4.26413,0.0096832,0.0096832,0.0096832
19,36.8625,5.41306,4.86949,3.25368,0,0,0,0,3.25222,5.39844,4.18367,0.0096634,0.0096634,0.0096634
20,38.5848,6.03413,5.00379,3.23583,0,0,0,0,1.28987,1.92188,1.72874,0.0096436,0.0096436,0.0096436
21,40.4202,5.29008,4.83237,3.2746,0,0,0,0,3.37207,5.71484,7.60007,0.0096238,0.0096238,0.0096238
22,42.2219,5.87155,4.89778,2.93401,0,0,0,0,3.37207,5.71484,7.60007,0.009604,0.009604,0.009604
23,43.926,4.33617,4.20612,2.42063,0,0,0,0,5.21602,8.25261,11.1156,0.0095842,0.0095842,0.0095842
24,45.8001,4.3996,4.55952,3.03055,0,0,0,0,4.41515,7.34292,8.33546,0.0095644,0.0095644,0.0095644
25,47.8702,5.0405,4.54881,2.67373,0,0,0,0,5.0405,5.59135,5.03445,0.0095446,0.0095446,0.0095446
26,49.7089,4.589,4.39023,2.62609,0,0,0,0,3.89542,4.90637,2.71173,0.0095248,0.0095248,0.0095248
27,51.5336,4.52919,4.37334,2.48893,0.00026,0.0137,0.00013,5e-05,3.83722,4.42046,2.63031,0.009505,0.009505,0.009505
28,53.6775,4.53553,4.27457,2.32199,0.00143,0.08219,0.00105,0.00027,3.84849,5.44058,2.66268,0.0094852,0.0094852,0.0094852
29,55.5752,4.41249,4.57314,2.40564,0.00221,0.09589,0.00142,0.0003,3.76842,4.67796,2.95919,0.0094654,0.0094654,0.0094654
30,57.3691,4.25238,4.59712,2.10513,0.00221,0.09589,0.00142,0.0003,3.76842,4.67796,2.95919,0.0094456,0.0094456,0.0094456
