epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.97313,6.33094,37.4582,4.2196,0,0,0,0,4.97982,22.9393,4.1607,0.0946,0.0006,0.0006
2,4.73335,5.69412,42.6116,3.68311,0,0,0,0,4.96555,22.1834,4.16034,0.0882984,0.00129839,0.00129839
3,6.70605,6.62612,32.666,4.18604,0,0,0,0,4.88878,10.8337,4.15631,0.0819951,0.00199505,0.00199505
4,8.81106,5.36617,12.4935,4.1836,0,0,0,0,4.79027,7.38337,4.14726,0.07569,0.00268998,0.00268998
5,10.6781,6.44678,9.45277,4.16924,0,0,0,0,4.73201,5.06567,4.13602,0.0693832,0.00338317,0.00338317
6,12.5995,5.0362,6.99484,3.59581,0,0,0,0,4.68006,5.26756,4.12064,0.0630746,0.00407463,0.00407463
7,14.3285,5.15206,6.85825,3.41959,0,0,0,0,4.66661,5.34314,4.11295,0.0567644,0.00476436,0.00476436
8,16.045,5.31341,7.32212,3.64018,0,0,0,0,4.6064,5.07376,4.09604,0.0504524,0.00545236,0.00545236
9,17.8263,4.49644,5.67466,3.02873,0,0,0,0,4.5763,5.1834,4.08641,0.0441386,0.00613862,0.00613862
10,19.6514,6.10887,5.94159,4.006,0,0,0,0,4.56984,5.2576,4.07834,0.0378232,0.00682315,0.00682315
11,21.7387,4.99205,5.73908,3.33658,0,0,0,0,4.56602,5.401,4.05578,0.031506,0.00750595,0.00750595
12,23.6282,6.27902,6.23786,3.7729,0,0,0,0,4.60184,5.40975,4.03561,0.025187,0.00818702,0.00818702
13,25.436,5.84645,5.77083,3.89642,0,0,0,0,4.66676,5.38343,4.00989,0.0188664,0.00886635,0.00886635
14,27.1777,4.81297,4.69204,2.84035,0,0,0,0,4.66676,5.38343,4.00989,0.012544,0.00954395,0.00954395
15,28.9223,4.87317,4.82112,3.24767,0,0,0,0,4.97695,5.16167,3.9472,0.00982675,0.00982675,0.00982675
16,30.6178,6.21262,5.49143,3.67994,0,0,0,0,5.26093,4.88949,3.85659,0.00982675,0.00982675,0.00982675
17,32.3531,6.21446,5.58951,3.53414,0,0,0,0,5.58455,4.59461,3.66002,0.00981438,0.00981438,0.00981438
18,34.225,5.22992,4.45445,2.92733,0,0,0,0,5.92053,4.34843,3.34214,0.009802,0.009802,0.009802
19,36.0421,5.89219,5.08635,3.40086,0,0,0,0,5.96445,4.23262,3.11788,0.00978962,0.00978962,0.00978962
20,37.8016,5.99905,4.99636,3.22358,0,0,0,0,5.6432,4.4095,3.21446,0.00977725,0.00977725,0.00977725
21,39.7153,5.36097,4.80823,3.28955,0,0,0,0,4.91476,6.39656,4.04596,0.00976487,0.00976487,0.00976487
22,41.535,5.89944,5.48478,2.96623,0,0,0,0,4.91476,6.39656,4.04596,0.0097525,0.0097525,0.0097525
