epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.48275,5.682,43.9817,3.69409,0,0,0,0,5.27459,24.2776,4.1601,0.00024,0.00024,0.00024
2,5.96388,5.98197,103.678,4.01225,0,0,0,0,5.27811,24.9841,4.15824,0.000499381,0.000499381,0.000499381
3,11.1631,5.01585,115.113,3.42502,0,0,0,0,5.27412,25.3663,4.15327,0.000758119,0.000758119,0.000758119
4,16.3775,5.76263,58.9747,3.89034,0,0,0,0,5.25138,25.5745,4.12864,0.00101621,0.00101621,0.00101621
5,21.4181,5.63292,72.3143,3.42746,0,0,0,0,5.23814,15.8729,4.09694,0.00127366,0.00127366,0.00127366
6,26.5673,5.63291,39.1635,3.44133,0,0,0,0,5.31394,18.1698,4.06774,0.00153047,0.00153047,0.00153047
7,31.5606,6.08286,29.8391,3.94703,0,0,0,0,5.31151,13.7837,3.98505,0.00178664,0.00178664,0.00178664
8,36.5475,5.41912,31.5584,3.49587,0,0,0,0,5.48233,7.67886,3.85079,0.00198268,0.00198268,0.00198268
9,41.6798,6.00717,19.5901,3.8039,0,0,0,0,5.48233,7.67886,3.85079,0.0019802,0.0019802,0.0019802
10,46.7039,5.83108,25.2034,3.33124,0,0,0,0,5.75317,7.37473,3.6201,0.00197773,0.00197773,0.00197773
11,51.9264,6.35124,18.8503,3.55718,0,0,0,0,5.95826,7.48583,3.45354,0.00197525,0.00197525,0.00197525
12,57.096,5.64274,12.5039,3.37583,0,0,0,0,nan,nan,nan,0.00197277,0.00197277,0.00197277
13,62.15,5.72061,10.3272,3.48428,0,0,0,0,2.80962,inf,157.873,0.0019703,0.0019703,0.0019703
14,67.3006,5.52113,20.1972,3.19851,0.00024,0.0137,0.00012,4e-05,5.03436,8.1012,3.58663,0.00196782,0.00196782,0.00196782
15,72.5032,5.13639,15.9375,3.09157,0.00024,0.0137,0.00012,4e-05,5.03436,8.1012,3.58663,0.00196535,0.00196535,0.00196535
16,77.5382,5.27119,9.5583,3.06428,0,0,0,0,4.99252,4.80957,3.18191,0.00196287,0.00196287,0.00196287
17,81.0857,5.12938,12.2976,3.20888,0,0,0,0,5.08067,5.43246,2.89276,0.0019604,0.0019604,0.0019604
